Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	4.029596	3.752621	7.346000	11.429999	
0.100000	3.456942	3.400918	16.122000	17.959999	
0.100000	2.967353	3.237513	24.747999	24.439999	
0.100000	2.585672	2.644170	32.124001	31.689999	
0.100000	2.319091	2.550909	37.865997	35.469997	
0.100000	2.095705	2.440711	42.798000	39.149998	
0.100000	1.933053	2.161920	46.497997	43.439999	
0.100000	1.821139	2.104051	49.480000	45.079998	
0.100000	1.710901	1.956398	51.889999	47.389999	
0.100000	1.626338	1.904446	54.203999	49.070000	
0.100000	1.554377	1.938450	55.947998	48.500000	
0.100000	1.492080	1.836688	57.505997	50.809998	
0.100000	1.433426	1.616271	58.699997	55.369999	
0.100000	1.384879	1.616941	60.105999	55.329998	
0.100000	1.338943	1.668217	61.267998	54.779999	
0.100000	1.298202	1.714822	62.191998	54.299999	
0.100000	1.263522	1.744046	63.199997	54.779999	
0.100000	1.235403	1.669840	64.026001	55.539997	
0.100000	1.202980	1.855591	64.811996	52.070000	
0.100000	1.176319	1.637988	65.571999	57.039997	
0.100000	1.141908	1.553772	66.257996	58.219997	
0.100000	1.108339	1.665062	67.288002	56.730000	
0.100000	1.095322	1.591807	67.689995	57.989998	
0.100000	1.066361	1.663486	68.278000	57.500000	
0.100000	1.054217	1.631866	68.627998	57.799999	
0.100000	1.030226	1.560700	69.416000	58.820000	
0.100000	1.016529	1.568980	69.701996	59.579998	
0.100000	0.993905	1.736637	70.234001	56.869999	
0.100000	0.985342	1.533743	70.681999	60.579998	
0.100000	0.965784	1.586024	71.098000	60.219997	
0.100000	0.947325	1.607580	71.470001	58.939999	
0.100000	0.929291	1.490101	72.012001	60.299999	
0.100000	0.914170	1.681384	72.419998	57.379997	
0.100000	0.906471	1.517005	72.769997	60.730000	
0.100000	0.891914	1.656366	73.014000	58.639999	
0.100000	0.883399	1.483824	73.351997	61.189999	
0.100000	0.870317	1.516972	73.587997	60.709999	
0.100000	0.861004	1.655569	73.977997	59.399998	
