Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	3.853076	3.655102	10.740000	14.719999	
0.100000	3.060453	2.946776	23.765999	26.859999	
0.100000	2.512849	2.820043	34.020000	32.860001	
0.100000	2.147610	2.290183	42.334000	40.639999	
0.100000	1.921192	2.168857	47.295998	43.789997	
0.100000	1.752622	1.840708	51.306000	50.039997	
0.100000	1.636132	1.924834	54.015999	48.739998	
0.100000	1.530143	1.723238	56.667999	53.219997	
0.100000	1.453244	1.732418	58.565998	54.309998	
0.100000	1.395480	1.657816	60.167999	55.379997	
0.100000	1.339449	1.609273	61.584000	56.789997	
0.100000	1.291902	1.716366	62.775997	54.649998	
0.100000	1.247793	1.887622	63.972000	52.169998	
0.100000	1.216789	1.774593	64.573997	55.489998	
0.100000	1.185571	1.558787	65.489998	56.789997	
0.100000	1.152766	1.686526	66.271996	56.840000	
0.100000	1.134273	1.725263	66.919998	56.189999	
0.100000	1.111091	1.587618	67.098000	57.279999	
0.100000	1.087597	1.493877	67.930000	61.019997	
0.100000	1.073522	1.478381	68.484001	60.480000	
0.100000	1.046648	1.541503	68.975998	60.180000	
0.100000	1.038828	1.587796	69.323997	59.509998	
0.100000	1.020245	1.458246	69.617996	61.299999	
0.100000	1.009215	1.493883	70.099998	61.149998	
0.100000	0.995088	1.455628	70.239998	62.019997	
0.100000	0.987910	1.530671	70.557999	59.449997	
0.100000	0.967699	1.411116	71.115997	62.289997	
0.100000	0.956568	1.387929	71.694000	62.099998	
0.100000	0.955893	1.454886	71.523994	61.539997	
0.100000	0.937509	1.448558	71.967995	62.259998	
0.100000	0.929751	1.345881	72.223999	64.019997	
0.100000	0.917863	1.489995	72.533997	62.430000	
0.100000	0.924312	1.386297	72.047997	63.509998	
0.100000	0.898069	1.515453	72.995995	60.849998	
0.100000	0.891340	1.325938	73.185997	64.349998	
0.100000	0.892978	1.443654	73.161995	61.930000	
0.100000	0.879464	1.377420	73.540001	63.279999	
0.100000	0.870126	1.513739	73.687996	62.579998	
0.100000	0.875613	1.477201	73.533997	62.129997	
0.100000	0.864919	1.372617	73.891998	63.459999	
0.100000	0.865716	1.461899	73.916000	62.119999	
0.100000	0.854206	1.342017	74.161995	64.889999	
0.100000	0.850261	1.401909	74.028000	63.189999	
0.100000	0.830035	1.357641	74.825996	63.959999	
0.100000	0.826977	1.442504	74.820000	62.989998	
0.100000	0.825384	1.381514	74.961998	63.590000	
0.100000	0.822166	1.445779	74.993996	63.709999	
0.100000	0.814742	1.441557	75.295998	63.259998	
0.100000	0.812149	1.396031	75.470001	64.209999	
0.100000	0.814725	1.442121	75.101997	63.250000	
0.100000	0.807884	1.520999	75.362000	61.759998	
0.100000	0.803402	1.409445	75.479996	63.969997	
0.100000	0.797141	1.309051	75.717995	65.099998	
0.100000	0.791241	1.353562	76.019997	64.689995	
0.100000	0.790299	1.417408	75.979996	64.250000	
0.100000	0.790831	1.400037	76.029999	63.489998	
0.100000	0.784202	1.432870	76.203995	63.029999	
0.100000	0.782255	1.326592	76.070000	65.229996	
