Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	2.155187	1.872019	20.543999	27.730000	
0.100000	1.687791	1.567361	36.334000	41.389999	
0.100000	1.343837	1.349748	50.759998	54.379997	
0.100000	1.088130	1.086229	61.101997	63.379997	
0.100000	0.916858	1.045721	67.386002	63.259998	
0.100000	0.795513	0.962017	72.131996	68.239998	
0.100000	0.695703	0.915790	75.631996	69.739998	
0.100000	0.634513	0.735489	77.931999	75.610001	
0.100000	0.587268	0.649448	79.563995	78.279999	
0.100000	0.546453	0.599767	80.895996	79.759995	
0.100000	0.512280	0.690465	82.353996	77.430000	
0.100000	0.488767	0.892164	83.164001	73.790001	
0.100000	0.459656	0.523782	84.068001	82.790001	
0.100000	0.442944	0.694577	84.631996	77.879997	
0.100000	0.421086	0.500070	85.325996	82.729996	
0.100000	0.407242	0.512731	85.987999	83.119995	
0.100000	0.391162	0.526553	86.315994	82.430000	
0.100000	0.375121	0.561526	87.042000	81.489998	
0.100000	0.364113	0.567348	87.215996	81.720001	
0.100000	0.358007	0.461738	87.535995	84.529999	
0.100000	0.345887	0.452923	88.096001	84.549995	
0.100000	0.330367	0.501593	88.451996	83.349998	
0.100000	0.324328	0.488423	88.734001	84.070000	
0.100000	0.315722	0.557313	88.989998	81.739998	
0.100000	0.309019	0.448423	89.209999	85.689995	
0.100000	0.303740	0.426178	89.565994	85.610001	
0.100000	0.296650	0.445713	89.568001	85.309998	
0.100000	0.286424	0.615305	90.009995	81.529999	
0.100000	0.282020	0.485418	90.131996	84.519997	
0.100000	0.273470	0.425234	90.381996	86.250000	
0.100000	0.269566	0.450258	90.671997	86.199997	
0.100000	0.268713	0.528967	90.692001	84.220001	
0.100000	0.262808	0.472189	90.832001	85.089996	
0.100000	0.256966	0.474222	91.061996	84.720001	
0.100000	0.254232	0.440406	91.129997	86.400002	
0.100000	0.248764	0.442944	91.351997	86.099998	
0.100000	0.247200	0.470083	91.493996	85.320000	
0.100000	0.240730	0.406104	91.568001	86.470001	
0.100000	0.236659	0.741997	91.787994	80.759995	
0.100000	0.242502	0.487822	91.537994	85.279999	
0.100000	0.234285	0.429623	91.928001	86.360001	
0.100000	0.226364	0.419193	91.909996	86.970001	
0.100000	0.221874	0.463578	92.257996	85.790001	
0.100000	0.227683	0.521614	92.098000	84.739998	
0.100000	0.221498	0.407359	92.283997	86.879997	
0.100000	0.217024	0.476554	92.402000	85.610001	
0.100000	0.214340	0.382477	92.535995	87.809998	
0.100000	0.211364	0.356304	92.607994	88.639999	
0.100000	0.212693	0.407200	92.643997	87.400002	
0.100000	0.208275	0.408617	92.678001	87.220001	
0.100000	0.207393	0.363979	92.820000	88.619995	
0.100000	0.199355	0.400921	92.865997	87.889999	
0.100000	0.199699	0.431931	93.003998	86.750000	
0.100000	0.203556	0.393397	92.871994	87.629997	
0.100000	0.201601	0.362652	93.049995	88.599998	
0.100000	0.197383	0.396544	93.028000	87.509995	
0.100000	0.195733	0.388008	93.211998	88.320000	
0.100000	0.196100	0.396038	93.071999	87.349998	
0.100000	0.193020	0.452117	93.166000	86.589996	
0.100000	0.197824	0.373434	93.113998	88.189995	
0.100000	0.182342	0.362487	93.692001	88.790001	
0.100000	0.184116	0.497161	93.568001	85.099998	
0.100000	0.188275	0.409169	93.381996	87.180000	
0.100000	0.184266	0.484046	93.603996	85.379997	
0.100000	0.183757	0.406985	93.599998	87.779999	
0.100000	0.182140	0.399001	93.678001	87.930000	
0.100000	0.175456	0.453799	93.841995	86.860001	
0.100000	0.176160	0.463868	93.809998	86.790001	
0.100000	0.179744	0.409922	93.779999	87.159996	
0.100000	0.182762	0.391333	93.542000	88.089996	
0.100000	0.182230	0.471634	93.612000	86.250000	
0.100000	0.173478	0.380739	93.883995	88.349998	
